field,type
CDMC166_1_DIFF_CDMC167_6,numeric
CDMC167_6_DIFF_CDMC168_12,numeric
CDMC043_1_DIFF_CDMC044_6,numeric
CDMC044_6_DIFF_CDMC045_12,numeric
CDMC040_1_DIFF_CDMC041_6,numeric
CDMC041_6_DIFF_CDMC042_12,numeric
CDMC093_1_DIFF_CDMC094_6,numeric
CDMC094_6_DIFF_CDMC095_12,numeric
CDMC090_1_DIFF_CDMC091_6,numeric
CDMC091_6_DIFF_CDMC092_12,numeric
CDMC181_1_DIFF_CDMC182_6,numeric
CDMC182_6_DIFF_CDMC183_12,numeric
CDMC178_1_DIFF_CDMC179_6,numeric
CDMC179_6_DIFF_CDMC180_12,numeric
CDMC111_1_DIFF_CDMC112_6,numeric
CDMC112_6_DIFF_CDMC113_12,numeric
CDMC157_1_DIFF_CDMC158_6,numeric
CDMC158_6_DIFF_CDMC159_12,numeric
CDMC154_1_DIFF_CDMC155_6,numeric
CDMC155_6_DIFF_CDMC156_12,numeric
CDMC255_1_DIFF_CDMC256_6,numeric
CDMC256_6_DIFF_CDMC257_12,numeric
CDMC252_1_DIFF_CDMC253_6,numeric
CDMC253_6_DIFF_CDMC254_12,numeric
CDMC081_1_DIFF_CDMC082_6,numeric
CDMC082_6_DIFF_CDMC083_12,numeric
CDMC078_1_DIFF_CDMC079_6,numeric
CDMC079_6_DIFF_CDMC080_12,numeric
CDMC049_1_DIFF_CDMC050_6,numeric
CDMC050_6_DIFF_CDMC051_12,numeric
CDMC046_1_DIFF_CDMC047_6,numeric
CDMC047_6_DIFF_CDMC048_12,numeric
CDMC175_1_DIFF_CDMC176_6,numeric
CDMC176_6_DIFF_CDMC177_12,numeric
CDMC172_1_DIFF_CDMC173_6,numeric
CDMC173_6_DIFF_CDMC174_12,numeric
CDMC123_1_DIFF_CDMC124_6,numeric
CDMC124_6_DIFF_CDMC125_12,numeric
CDMC120_1_DIFF_CDMC121_6,numeric
CDMC121_6_DIFF_CDMC122_12,numeric
CDMC099_1_DIFF_CDMC100_6,numeric
CDMC100_6_DIFF_CDMC101_12,numeric
CDMC097_1_DIFF_CDMC096_6,numeric
CDMC096_6_DIFF_CDMC098_12,numeric
CDMC197_1_DIFF_CDMC198_6,numeric
CDMC198_6_DIFF_CDMC199_12,numeric
CDMC194_1_DIFF_CDMC195_6,numeric
CDMC195_6_DIFF_CDMC196_12,numeric
CDMC015_1_DIFF_CDMC016_6,numeric
CDMC016_6_DIFF_CDMC017_12,numeric
CDMC012_1_DIFF_CDMC013_6,numeric
CDMC013_6_DIFF_CDMC014_12,numeric
CDMC258_1_DIFF_CDMC259_6,numeric
CDMC259_6_DIFF_CDMC260_12,numeric
CDMC129_1_DIFF_CDMC130_6,numeric
CDMC130_6_DIFF_CDMC131_12,numeric
CDMC126_1_DIFF_CDMC127_6,numeric
CDMC127_6_DIFF_CDMC128_12,numeric
CDMC031_1_DIFF_CDMC032_6,numeric
CDMC032_6_DIFF_CDMC033_12,numeric
CDMC028_1_DIFF_CDMC029_6,numeric
CDMC029_6_DIFF_CDMC030_12,numeric
CDMC203_1_DIFF_CDMC204_6,numeric
CDMC204_6_DIFF_CDMC205_12,numeric
CDMC200_1_DIFF_CDMC201_6,numeric
CDMC201_6_DIFF_CDMC202_12,numeric
CDMC055_1_DIFF_CDMC056_6,numeric
CDMC056_6_DIFF_CDMC057_12,numeric
CDMC052_1_DIFF_CDMC053_6,numeric
CDMC053_6_DIFF_CDMC054_12,numeric
CDMC187_1_DIFF_CDMC188_6,numeric
CDMC188_6_DIFF_CDMC189_12,numeric
CDMC184_1_DIFF_CDMC185_6,numeric
CDMC185_6_DIFF_CDMC186_12,numeric
CDMC025_1_DIFF_CDMC026_6,numeric
CDMC026_6_DIFF_CDMC027_12,numeric
CDMC022_1_DIFF_CDMC023_6,numeric
CDMC023_6_DIFF_CDMC024_12,numeric
CDMC038_DIFF2_CDMC039,numeric
CDMC035_DIFF2_CDMC036,numeric
CDMC088_DIFF2_CDMC089,numeric
CDMC085_DIFF2_CDMC086,numeric
CDMC210_DIFF2_CDMC211,numeric
CDMC207_DIFF2_CDMC208,numeric
CDMC066_DIFF2_CDMC067,numeric
CDMC063_DIFF2_CDMC064,numeric
CDMC005_DIFF2_CDMC006,numeric
CDMC002_DIFF2_CDMC003,numeric
CDMC008_DIFF2_CDMC009,numeric
CDMC103_DIFF2_CDMC104,numeric
CDMC164_DIFF2_CDMC165,numeric
CDMC161_DIFF2_CDMC162,numeric
CDMC216_DIFF2_CDMC217,numeric
CDMC213_DIFF2_CDMC214,numeric
CDMC136_DIFF2_CDMC137,numeric
CDMC133_DIFF2_CDMC134,numeric
CDMC142_DIFF2_CDMC143,numeric
CDMC139_DIFF2_CDMC140,numeric
CDMC148_DIFF2_CDMC149,numeric
CDMC145_DIFF2_CDMC146,numeric
CDMC248_DIFF2_CDMC249,numeric
CDMC072_DIFF2_CDMC073,numeric
CDMC069_DIFF2_CDMC070,numeric
CDMC170_DIFF2_CDMC171,numeric
CDMC167_DIFF2_CDMC168,numeric
CDMC044_DIFF2_CDMC045,numeric
CDMC041_DIFF2_CDMC042,numeric
CDMC094_DIFF2_CDMC095,numeric
CDMC091_DIFF2_CDMC092,numeric
CDMC182_DIFF2_CDMC183,numeric
CDMC179_DIFF2_CDMC180,numeric
CDMC112_DIFF2_CDMC113,numeric
CDMC158_DIFF2_CDMC159,numeric
CDMC155_DIFF2_CDMC156,numeric
CDMC256_DIFF2_CDMC257,numeric
CDMC253_DIFF2_CDMC254,numeric
CDMC082_DIFF2_CDMC083,numeric
CDMC079_DIFF2_CDMC080,numeric
CDMC050_DIFF2_CDMC051,numeric
CDMC047_DIFF2_CDMC048,numeric
CDMC176_DIFF2_CDMC177,numeric
CDMC173_DIFF2_CDMC174,numeric
CDMC124_DIFF2_CDMC125,numeric
CDMC121_DIFF2_CDMC122,numeric
CDMC100_DIFF2_CDMC101,numeric
CDMC096_DIFF2_CDMC098,numeric
CDMC198_DIFF2_CDMC199,numeric
CDMC195_DIFF2_CDMC196,numeric
CDMC016_DIFF2_CDMC017,numeric
CDMC013_DIFF2_CDMC014,numeric
CDMC259_DIFF2_CDMC260,numeric
CDMC130_DIFF2_CDMC131,numeric
CDMC127_DIFF2_CDMC128,numeric
CDMC032_DIFF2_CDMC033,numeric
CDMC029_DIFF2_CDMC030,numeric
CDMC204_DIFF2_CDMC205,numeric
